uid,y_true
x01:0,0
x01:1,0
x01:2,0
x01:3,0
x01:4,0
x01:5,0
x01:6,0
x01:7,0
x01:8,0
x01:9,0
x01:10,0
x01:11,0
x01:12,0
x01:13,0
x01:14,0
x01:15,0
x01:16,0
x01:17,0
x01:18,0
x01:19,0
x01:20,0
x01:21,0
x01:22,0
x01:23,0
x01:24,0
x01:25,1
x01:26,1
x01:27,1
x01:28,1
x01:29,1
x01:30,1
x01:31,1
x01:32,1
x01:33,1
x01:34,1
x01:35,1
x01:36,1
x01:37,1
x01:38,1
x01:39,1
x01:40,1
x01:41,1
x01:42,0
x01:43,0
x01:44,0
x01:45,0
x01:46,0
x01:47,0
x01:48,0
x01:49,0
x01:50,0
x01:51,0
x01:52,0
x01:53,0
x01:54,0
x01:55,0
x01:56,0
x01:57,0
x01:58,0
x01:59,0
x01:60,0
x01:61,0
x01:62,0
x01:63,1
x01:64,1
x01:65,1
x01:66,1
x01:67,1
x01:68,1
x01:69,1
x01:70,1
x01:71,1
x01:72,1
x01:73,1
x01:74,1
x01:75,1
x01:76,1
x01:77,1
x01:78,1
x01:79,1
x01:80,1
x01:81,1
x01:82,1
x01:83,1
x01:84,1
x01:85,1
x01:86,1
x01:87,1
x01:88,1
x01:89,1
x01:90,1
x01:91,0
x01:92,0
x01:93,0
x01:94,0
x01:95,0
x01:96,0
x01:97,0
x01:98,0
x01:99,0
x01:100,0
x01:101,0
x01:102,0
x01:103,0
x01:104,0
x01:105,0
x01:106,0
x01:107,0
x01:108,0
x01:109,0
x01:110,0
x01:111,0
x01:112,0
x01:113,0
x01:114,0
x01:115,1
x01:116,1
x01:117,1
x01:118,1
x01:119,1
x01:120,1
x01:121,1
x01:122,0
x01:123,1
x01:124,1
x01:125,1
x01:126,1
x01:127,1
x01:128,1
x01:129,1
x01:130,1
x01:131,1
x01:132,1
x01:133,1
x01:134,1
x01:135,1
x01:136,1
x01:137,1
x01:138,1
x01:139,1
x01:140,0
x01:141,0
x01:142,1
x01:143,1
x01:144,1
x01:145,1
x01:146,1
x01:147,0
x01:148,0
x01:149,1
x01:150,1
x01:151,0
x01:152,0
x01:153,1
x01:154,1
x01:155,1
x01:156,1
x01:157,1
x01:158,1
x01:159,1
x01:160,1
x01:161,1
x01:162,1
x01:163,1
x01:164,1
x01:165,1
x01:166,1
x01:167,1
x01:168,1
x01:169,1
x01:170,1
x01:171,1
x01:172,1
x01:173,1
x01:174,1
x01:175,1
x01:176,1
x01:177,1
x01:178,1
x01:179,1
x01:180,1
x01:181,1
x01:182,1
x01:183,1
x01:184,1
x01:185,1
x01:186,1
x01:187,1
x01:188,1
x01:189,1
x01:190,1
x01:191,1
x01:192,1
x01:193,1
x01:194,1
x01:195,1
x01:196,1
x01:197,1
x01:198,1
x01:199,1
x01:200,1
x01:201,1
x01:202,1
x01:203,1
x01:204,1
x01:205,1
x01:206,1
x01:207,1
x01:208,1
x01:209,1
x01:210,1
x01:211,1
x01:212,1
x01:213,1
x01:214,1
x01:215,1
x01:216,1
x01:217,1
x01:218,1
x01:219,1
x01:220,0
x01:221,0
x01:222,0
x01:223,0
x01:224,0
x01:225,1
x01:226,0
x01:227,0
x01:228,0
x01:229,1
x01:230,0
x01:231,0
x01:232,0
x01:233,0
x01:234,0
x01:235,0
x01:236,0
x01:237,0
x01:238,0
x01:239,0
x01:240,0
x01:241,0
x01:242,0
x01:243,0
x01:244,0
x01:245,0
x01:246,0
x01:247,0
x01:248,0
x01:249,0
x01:250,0
x01:251,0
x01:252,1
x01:253,1
x01:254,1
x01:255,1
x01:256,1
x01:257,1
x01:258,1
x01:259,1
x01:260,1
x01:261,1
x01:262,1
x01:263,1
x01:264,1
x01:265,1
x01:266,1
x01:267,1
x01:268,1
x01:269,1
x01:270,1
x01:271,1
x01:272,0
x01:273,1
x01:274,1
x01:275,1
x01:276,1
x01:277,1
x01:278,1
x01:279,1
x01:280,1
x01:281,1
x01:282,1
x01:283,1
x01:284,1
x01:285,1
x01:286,1
x01:287,1
x01:288,1
x01:289,1
x01:290,1
x01:291,1
x01:292,1
x01:293,1
x01:294,1
x01:295,1
x01:296,0
x01:297,1
x01:298,1
x01:299,1
x01:300,1
x01:301,1
x01:302,1
x01:303,1
x01:304,1
x01:305,1
x01:306,1
x01:307,1
x01:308,0
x01:309,0
x01:310,0
x01:311,0
x01:312,0
x01:313,1
x01:314,1
x01:315,1
x01:316,1
x01:317,1
x01:318,1
x01:319,1
x01:320,1
x01:321,1
x01:322,1
x01:323,1
x01:324,1
x01:325,1
x01:326,1
x01:327,1
x01:328,1
x01:329,1
x01:330,1
x01:331,1
x01:332,1
x01:333,1
x01:334,1
x01:335,1
x01:336,1
x01:337,1
x01:338,1
x01:339,1
x01:340,1
x01:341,1
x01:342,1
x01:343,1
x01:344,1
x01:345,1
x01:346,1
x01:347,1
x01:348,1
x01:349,1
x01:350,1
x01:351,1
x01:352,1
x01:353,1
x01:354,1
x01:355,1
x01:356,1
x01:357,1
x01:358,1
x01:359,1
x01:360,1
x01:361,1
x01:362,1
x01:363,1
x01:364,1
x01:365,1
x01:366,1
x01:367,1
x01:368,1
x01:369,1
x01:370,1
x01:371,1
x01:372,1
x01:373,1
x01:374,1
x01:375,1
x01:376,1
x01:377,1
x01:378,0
x01:379,1
x01:380,1
x01:381,0
x01:382,1
x01:383,1
x01:384,1
x01:385,1
x01:386,1
x01:387,1
x01:388,1
x01:389,1
x01:390,1
x01:391,1
x01:392,1
x01:393,1
x01:394,1
x01:395,1
x01:396,1
x01:397,1
x01:398,0
x01:399,0
x01:400,0
x01:401,0
x01:402,0
x01:403,0
x01:404,1
x01:405,1
x01:406,1
x01:407,0
x01:408,0
x01:409,0
x01:410,0
x01:411,0
x01:412,1
x01:413,1
x01:414,1
x01:415,0
x01:416,0
x01:417,0
x01:418,0
x01:419,0
x01:420,0
x01:421,0
x01:422,0
x01:423,1
x01:424,1
x01:425,0
x01:426,0
x01:427,0
x01:428,0
x01:429,1
x01:430,1
x01:431,1
x01:432,1
x01:433,1
x01:434,1
x01:435,1
x01:436,1
x01:437,1
x01:438,1
x01:439,1
x01:440,1
x01:441,1
x01:442,1
x01:443,1
x01:444,1
x01:445,1
x01:446,1
x01:447,1
x01:448,1
x01:449,1
x01:450,1
x01:451,1
x01:452,0
x01:453,0
x01:454,1
x01:455,1
x01:456,1
x01:457,1
x01:458,1
x01:459,1
x01:460,1
x01:461,1
x01:462,1
x01:463,1
x01:464,1
x01:465,1
x01:466,1
x01:467,1
x01:468,1
x01:469,1
x01:470,1
x01:471,1
x01:472,1
x01:473,1
x01:474,1
x01:475,1
x01:476,1
x01:477,1
x01:478,1
x01:479,1
x01:480,1
x01:481,0
x01:482,0
x01:483,1
x01:484,1
x01:485,1
x01:486,1
x01:487,1
x01:488,1
x01:489,1
x01:490,1
x01:491,1
x01:492,1
x01:493,1
x01:494,1
x01:495,1
x01:496,1
